Company Common Name,Date,Source,RIC,Headline,Exchange Name,TRBC Economic Sector Name,CUSIP,Attack,Data Breach,Software Breach,Cyber breach,Social breach,Ransomware,Shutdown,Twitter breach,Facebook breach,Stolen Funds,Mitigation,ticker,exchange,Date_day
1st Source Corp,2023-07-10 15:33:36,MARCON,SRCE.O,8k – form,unknown,Financials,33690110,Data-breach,1.0,1.0,,,,,,,,,SRCE,O,2023-07-10
Activision Blizzard Inc,2023-02-20 06:37:41,MSNCAN,ATVI.O,"Alleged Activision data breach reveals Call of Duty's 2023 plans, including MW2 and possible new CoD",unknown,Technology,00507V10,Phishing,1.0,,,1.0,,,,,,,ATVI,O,2023-02-20
Adobe Inc,2012-11-13 19:00:00,RTRS,ADBE.O,"UPDATE 1-Adobe says user forum was breached, takes site offline",unknown,Technology,00724F10,Data-breach,1.0,,,,,,,,,,ADBE,O,2012-11-13
Adobe Inc,2013-02-26 19:00:00,RTRS,ADBE.O,Hackers target European governments via Adobe bug -researchers,unknown,Technology,00724F10,Code-vulnerability,,1.0,,,,,,,,,ADBE,O,2013-02-26
Adobe Inc,2013-10-03 17:40:55,RTRS,ADBE.O,"Adobe says customer data, source code accessed in cyber attack",unknown,Technology,00724F10,Code-breach,1.0,1.0,,,,,,,,,ADBE,O,2013-10-03
Adobe Inc,2014-04-28 15:45:18,RTRS,ADBE.O,Adobe fixes Flash Player bug used in attack on Syrian gov't website,unknown,Technology,00724F10,Code-vulnerability,,1.0,,,,,,,,,ADBE,O,2014-04-28
Adobe Inc,2016-04-07 20:47:05,RINB,ADBE.OQ,Adobe Systems Inc issues emergency update to Flash after ransomware attacks - Reuters News,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,00724F10,Ransomware,,1.0,,,1.0,,,,,,ADBE,OQ,2016-04-07
Adobe Inc,2017-10-16 11:27:41,RTRS,ADBE.O,UPDATE 1-Adobe warns that hackers are exploiting its Flash software,unknown,Technology,00724F10,Code-vulnerability,,1.0,,,,,,,,,ADBE,O,2017-10-16
Air Canada,2018-08-29 09:22:08,RTRS,AC.TO,"BRIEF-Air Canada mobile app breach affects 20,000 people - CBC News",TORONTO STOCK EXCHANGE,Industrials,00891187,Data-breach,1.0,,,,,,,,,,AC,TO,2018-08-29
Air Canada,2023-09-20 10:04:23,NEWCON,AC.TO,"Air Canada Reports Internal Data Breach, Employee Records Compromised",TORONTO STOCK EXCHANGE,Industrials,00891187,Data-breach,1.0,,,,,,,,,,AC,TO,2023-09-20
Airbnb Inc,2023-08-23 08:40:31,RTECOM,ABNB.O,Airbnb Ireland reprimanded over data breaches,unknown,Technology,00906610,Data-breach,1.0,,,,,,,,,,ABNB,O,2023-08-23
Akamai Technologies,2023-03-17 02:47:18,PRN,AKAM.O,Akamai Mitigates Record DDoS Attack in Asia-Pacific (900 Gbps),unknown,Technology,00971T10,Mitigation,,,,,,,,,,1.0,AKAM,O,2023-03-17
Allied Healthcare Products Inc,2021-06-04 09:31:03,RTRS,AHPI.O,BRIEF-Allied Healthcare Products Says Suffered What It Believed To Be A Cyber-Attack Impacting Certain Of Its Operational And Information Technolog...,OTC MARKETS,Healthcare,01922220,Ransomware,,,,,1.0,1.0,,,,,AHPI,O,2021-06-04
Alphabet Inc,2015-04-14 03:18:26,RTRS,GOOGL.O,google malaysia service disrupted by hackers,unknown,Technology,02079K30,Shutdown,,,,,,1.0,,,,,GOOGL,O,2015-04-14
Alphabet Inc,2018-10-08 11:31:33,RTRS,GOOGL.O,CORRECTED-UPDATE 4-Alphabet to shut Google+ social site after user data exposed,unknown,Technology,02079K30,Code-vulnerability,1.0,1.0,,,,,,,,,GOOGL,O,2018-10-08
Alphabet Inc,2022-05-23 04:33:44,INDIAE,GOOGL.O,google's threat analysis group reveals how commercial spyware was used to hack into android,unknown,Technology,02079K30,Code-vulnerability,,1.0,,,,,,,,,GOOGL,O,2022-05-23
Alphabet Inc,2022-06-23 12:42:32,RTRS,GOOGL.O,"rpt-apple and android phones hacked by italian spyware, google says",unknown,Technology,02079K30,Code-vulnerability,,1.0,,,,,,,,,GOOGL,O,2022-06-23
Alphabet Inc,2022-08-21 18:00:00,TWTR,GOOGL.O,@economictimes: google has blocked the largest-ever web distributed denial-of-service (ddos) cyber attack on a customer that peaked at 46 million requests per second (rps). https://t.co/pbrjj69bcj,unknown,Technology,02079K30,Mitigation,,,,,,,,,,1.0,GOOGL,O,2022-08-21
American Airlines Group Inc,2022-09-20 12:23:15,TWTR,AAL.O,@DeItaone: American Airlines Says Data Breach Affected Small Number of Customers $AAL Hackers accessed personal information through a phishing scam targeting airline employees https://t.co/VnVsAh6A0q,unknown,Industrials,02376R10,Data-breach,1.0,,,1.0,,,,,,,AAL,O,2022-09-20
American Airlines Group Inc,2023-06-30 15:46:12,DATMTR,AAL.O,American Airlines and Southwest Airlines suffer data breach,unknown,Industrials,02376R10,Data-breach,1.0,,,,,,,,,,AAL,O,2023-06-30
Amtech Systems Inc,2021-04-15 07:10:43,RTRS,ASYS.O,"BRIEF-Amtech Systems - On April 12, Co Detected Data Incident Which Attackers Gained Access To & Disabled Some Technology Systems Used By One Of Co...",unknown,Technology,03233250,Shutdown,1.0,,,,,1.0,,,,,ASYS,O,2021-04-15
Apple Inc,2013-07-21 20:00:00,RTRS,AAPL.O,"Apple's developer website attacked, can't rule out stolen data",unknown,Technology,03783310,Shutdown,1.0,,,,,1.0,,,,,AAPL,O,2013-07-21
Apple Inc,2013-09-22 22:31:09,RTRS,AAPL.O,German group claims to have hacked Apple iPhone fingerprint scanner,unknown,Technology,03783310,Code-vulnerability,,1.0,,,,,,,,,AAPL,O,2013-09-22
Apple Inc,2014-06-10 15:30:17,RTRS,AAPL.OQ,Russia arrests two hackers it says hijacked Apple devices,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,03783310,Phishing,,1.0,,1.0,,,,,,,AAPL,OQ,2014-06-10
Apple Inc,2014-09-01 19:45:08,RTRS,AAPL.O,BRIEF-Apple says certain celebrity accounts were compromised by targeted attack,unknown,Technology,03783310,Data-breach,1.0,,,1.0,,,,,,,AAPL,O,2014-09-01
Apple Inc,2016-03-07 09:45:09,RTRS,AAPL.OQ,Apple users targeted in first known Mac ransomware campaign,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,03783310,Ransomware,,1.0,,,1.0,,,,,,AAPL,OQ,2016-03-07
Apple Inc,2016-08-25 14:32:31,RTRS,AAPL.OQ,Apple fixes serious security flaw after UAE dissident's iPhone targeted,NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,03783310,Code-vulnerability,,1.0,,,,,,,,,AAPL,OQ,2016-08-25
Apple Inc,2017-03-07 18:06:13,BUSINT,AAPL.OQ,Apple responds to the WikiLeaks files that suggested the CIA hacked iPhones (AAPL),NASDAQ/NGS (GLOBAL SELECT MARKET),Technology,03783310,Special,,1.0,,,,,,,,,AAPL,OQ,2017-03-07
Apple Inc,2018-08-16 19:08:10,RTRS,AAPL.O,Australian teen sparks FBI action after hacking Apple -media,unknown,Technology,03783310,Data-breach,1.0,,,,,,,,,,AAPL,O,2018-08-16
Apple Inc,2018-10-16 08:06:44,RTRS,AAPL.O,MEDIA-Apple 'deeply apologetic' over account hacks in China - WSJ,unknown,Technology,03783310,Phishing,1.0,1.0,,1.0,,,,,1.0,,AAPL,O,2018-10-16
Apple Inc,2019-01-28 20:23:20,THEGRD,AAPL.O,A 'black eye' for Apple: FaceTime bug shakes faith in iPhone security,unknown,Technology,03783310,Code-vulnerability,,1.0,,,,,,,,,AAPL,O,2019-01-28
Apple Inc,2020-04-04 02:03:55,HINDUT,AAPL.O,"Hacker finds out security flaw in Apple iPhones, iPads and MacBooks that gives access to webcams",unknown,Technology,03783310,Code-vulnerability,,1.0,,,,,,,,,AAPL,O,2020-04-04
Apple Inc,2021-04-21 02:58:21,BUSINT,AAPL.O,"A ransomware group says it stole Apple product blueprints, and is demanding the tech giant pay $50 million to get them back",unknown,Technology,03783310,Ransomware,1.0,1.0,,,1.0,,,,,,AAPL,O,2021-04-21
Apple Inc,2021-09-13 15:15:00,BUSINT,AAPL.O,"Apple wants you to update your iPhone, Mac, and Apple Watch after it fixed a software flaw that let hackers spy without anyone clicking a link",unknown,Technology,03783310,Code-vulnerability,,1.0,,,,,,,,,AAPL,O,2021-09-13
Apple Inc,2022-03-30 14:06:55,RTRS,AAPL.O,"BRIEF-Apple, Facebook Provided User Data In Response To Forged Legal Requests Sent By Hackers Using Law Enforcement Email Systems- Bloomberg Report...",unknown,Technology,03783310,Phishing,1.0,,,1.0,,,,,,,AAPL,O,2022-03-30
Apple Inc,2022-06-23 12:42:32,RTRS,AAPL.O,"RPT-Apple and Android phones hacked by Italian spyware, Google says",unknown,Technology,03783310,Code-vulnerability,,1.0,,,,,,,,,AAPL,O,2022-06-23
Apple Inc,2022-09-27 20:28:59,RTRS,AAPL.O,"""APPLE NEWS WAS JUST HACKED"" - CNBC REPORTER TWEET",unknown,Technology,03783310,Shutdown,,1.0,,,,1.0,,,,,AAPL,O,2022-09-27
Apple Inc,2022-12-13 15:36:17,NEWPAP,AAPL.O,Apple users urged to update devices after cyber attacks on iPads and older iPhones,unknown,Technology,03783310,Code-vulnerability,,1.0,,,,,,,,,AAPL,O,2022-12-13
Apple Inc,2023-06-01 04:15:31,RTRS,AAPL.O,UPDATE 7-Russia says US hacked thousands of Apple phones in spy plot,unknown,Technology,03783310,Code-vulnerability,,1.0,,,,,,,,,AAPL,O,2023-06-01
